Company,Year,Industry,Accruals_Ratio,Leverage_Ratio,Leverage_Change_YoY,Operating_Margin,Margin_Volatility_3yr
PWL,2024,Consumer Services,-0.04845543269250149,0.6802304253354995,0.22056281479941697,0.227015611105622,
PWL,2025,Consumer Services,-0.09750099566704892,0.4393194915620216,-0.2409109337734779,0.2183902736460893,0.006099034607657921
PWL,2026,Consumer Services,-0.11864448728636931,0.13705059399749894,-0.3022688975645227,-0.054091750083021015,0.15986567184996514
RADICO,2017,Fast Moving Consumer Goods,-0.07583858685196039,0.357510704650091,,,
RADICO,2018,Fast Moving Consumer Goods,-0.08536183771371611,0.2634682307288375,-0.09404247392125348,,
RADICO,2019,Fast Moving Consumer Goods,-0.05083895819187979,0.14956132759974972,-0.1139069031290878,,
RADICO,2020,Fast Moving Consumer Goods,0.06824955695182858,0.16122120186885772,0.011659874269108,,
RADICO,2021,Fast Moving Consumer Goods,-0.0354492898328144,0.10983106138268235,-0.051390140486175365,,
RADICO,2022,Fast Moving Consumer Goods,0.014801030324149754,0.0724136816125938,-0.03741737977008855,,
RADICO,2023,Fast Moving Consumer Goods,-0.0049143612136055325,0.20238574781539187,0.12997206620279805,,
RADICO,2024,Fast Moving Consumer Goods,-0.01719726909900734,0.1993962194272125,-0.002989528388179369,0.14175114352824825,
RADICO,2025,Fast Moving Consumer Goods,-0.044547519067615046,0.16077641614534235,-0.038619803281870146,0.17263294003555843,0.021836727725542078
RADICO,2026,Fast Moving Consumer Goods,-0.10270927134154276,0.09978839135387492,-0.060988024791467435,0.20724123799511787,0.032762712841623465
RAILTEL,2020,Telecommunication,-0.013448202527845076,0.017739117380915645,0.015279159038604362,,
RAILTEL,2021,Telecommunication,-0.10388829231751376,,,0.1695994637171108,
RAILTEL,2022,Telecommunication,-0.07620610390564592,0.011024536679063876,,0.16369519281563658,0.004174949992394829
RAILTEL,2023,Telecommunication,-0.04833280425498781,0.012515198524170894,0.0014906618451070181,0.1923892180589168,0.015152449760681504
RAINBOW,2017,Healthcare,-0.01048302151778101,0.06613331995786728,,,
RAINBOW,2018,Healthcare,-0.02600536193029489,0.053798033958891864,-0.012335285998975418,,
RAINBOW,2019,Healthcare,-0.08921728429711027,0.5140815423309837,0.4602835083720918,,
RAINBOW,2020,Healthcare,-0.1125549623115578,0.4918734296482412,-0.022208112682742476,,
RAINBOW,2021,Healthcare,-0.0949716537035153,0.4896186891340738,-0.002254740514167408,,
RAINBOW,2022,Healthcare,-0.06595458965533207,0.4567660178739562,-0.032852671260117594,,
RAINBOW,2023,Healthcare,-0.06661132194813407,0.3220836721785489,-0.13468234569540732,,
RAINBOW,2024,Healthcare,-0.11643475856984886,0.3526124216734242,0.03052874949487533,0.33752009646302256,
RAINBOW,2025,Healthcare,-0.13594083273383567,0.32123820462012886,-0.03137421705329535,0.329958468963969,0.005346878081387429
RAINBOW,2026,Healthcare,-0.12940926323679924,0.3210923873088178,-0.00014581731131108056,0.2864954573501564,0.027537021702836964
RAMCOCEM,2017,Construction Materials,-0.06430512084701104,0.20326115089293417,,,
RAMCOCEM,2018,Construction Materials,-0.07811477867897818,0.15629929771460851,-0.04696185317832566,,
RAMCOCEM,2019,Construction Materials,-0.034365145056239076,0.1995423831912982,0.043243085476689674,,
RAMCOCEM,2020,Construction Materials,-0.014207943657746075,0.29926394245763077,0.09972155926633258,,
RAMCOCEM,2021,Construction Materials,-0.09679280845985487,0.2714881483984122,-0.027775794059218595,,
RAMCOCEM,2022,Construction Materials,-0.019259767067857987,0.3001843818117147,0.02869623341330252,,
RAMCOCEM,2023,Construction Materials,-0.0751750060819539,0.3088680027548681,0.008683620943153392,,
RAMCOCEM,2024,Construction Materials,-0.10545754715241573,0.3034190188068776,-0.005448983947990482,0.14069424487635182,
RAMCOCEM,2025,Construction Materials,-0.06204812267669376,0.28627481000177596,-0.017144208805101646,0.1328691919000038,0.0055331480227196785
RAMCOCEM,2026,Construction Materials,-0.09500690979025267,0.2327979899666718,-0.05347682003510415,0.1348188557224874,0.004073345079348232
RBLBANK,2017,Financial Services,-0.061362249162977785,0.8745225783879498,,,
RBLBANK,2018,Financial Services,0.05151617063907313,0.8588701473093432,-0.015652431078606588,,
RBLBANK,2019,Financial Services,0.00969678395388729,0.8730302163778383,0.014160069068495096,,
RBLBANK,2020,Financial Services,0.06375049925008536,0.840818282408888,-0.03221193396895028,,
RBLBANK,2021,Financial Services,-0.0705829538564226,0.8376246300764757,-0.003193652332412311,,
RBLBANK,2022,Financial Services,-0.06231062663010514,0.8487366976496342,0.011112067573158524,,
RBLBANK,2023,Financial Services,0.10319689763138623,0.8480279599339272,-0.0007087377157070085,,
RBLBANK,2024,Financial Services,-0.03544616143768266,0.8497822957992088,0.0017543358652816199,0.1979160481259985,
RBLBANK,2025,Financial Services,0.007198506582756084,0.8493976137564556,-0.00038468204275321494,0.3399904002967181,0.10046173785260154
RBLBANK,2026,Financial Services,-0.04063095065399171,0.8617340354420385,0.01233642168558291,0.40952127992000503,0.10785517982346583
RECLTD,2017,Financial Services,-0.0023360849812685152,0.7983624051415844,,,
RECLTD,2018,Financial Services,0.15249563311858708,0.8432018499337541,0.044839444792169725,,
RECLTD,2019,Financial Services,0.13940910056339367,0.8183805515245021,-0.02482129840925207,,
RECLTD,2020,Financial Services,0.10859052909765055,0.8249675647713305,0.0065870132468284215,,
RECLTD,2021,Financial Services,0.12944589309662832,0.8225258425571562,-0.002441722214174269,,
RECLTD,2022,Financial Services,0.033941919255287126,0.8105987369082258,-0.011927105648930403,,
RECLTD,2023,Financial Services,0.10424589328419649,0.8180182823839387,0.007419545475712885,,
RECLTD,2024,Financial Services,0.112732569221437,0.8127959540531752,-0.005222328330763526,0.9815995325085902,
RECLTD,2025,Financial Services,0.0701649985322257,0.8084613678042261,-0.004334586248949113,0.9565107620184067,0.017740439745241764
RECLTD,2026,Financial Services,-0.0027787046322939016,0.8049318918142084,-0.0035294759900176276,0.9690403549171038,0.012544388152282045
REDINGTON,2017,Services,-0.0882988397261529,0.1493410468178428,,,
REDINGTON,2018,Services,0.027249546638682537,0.1341940294385684,-0.015147017379274402,,
REDINGTON,2019,Services,-0.045144796544046906,0.10527290515051353,-0.028921124288054864,,
REDINGTON,2020,Services,-0.030743966588698768,0.18938280688510872,0.08410990173459519,,
REDINGTON,2021,Services,-0.18810271499925815,0.042716180648280935,-0.1466666262368278,,
REDINGTON,2022,Services,0.015793079207689506,0.04513177559279052,0.0024155949445095817,,
REDINGTON,2023,Services,0.19873449642125143,0.14266020382606695,0.09752842823327643,,
REDINGTON,2024,Services,-0.027846576268183994,0.12130353912191985,-0.0213566647041471,0.022551961215866997,
