Company,Year,Industry,Accruals_Ratio,Leverage_Ratio,Leverage_Change_YoY,Operating_Margin,Margin_Volatility_3yr,Anomaly_Score,Is_Anomaly
FEDERALBNK,2024,Financial Services,-0.0172635234688361,0.8734443614743996,-0.0177752715416077,0.676614997928387,0.0213614188746349,-0.2074921360233989,0
EMCURE,2020,Healthcare,-0.0699138430046727,0.3903893423712888,0.008748978642984,,0.018909635366554302,-0.20751945228633356,0
RITES,2019,Construction,0.0563826493376287,0.0087726411547449,-0.0019278006350064,,0.00811929390513665,-0.20754413640336333,0
KEI,2023,Capital Goods,-0.0096972269007864,0.0429240215906528,-0.0578338312447033,,0.0147344734730676,-0.2075546609986535,0
ABCAPITAL,2022,Financial Services,0.0481161568857651,0.4149092139072899,-0.0111974468105834,,0.0213614188746349,-0.20758026319726824,0
KEI,2024,Capital Goods,-0.0957147520423327,0.0356989459758957,-0.0072250756147571,0.099435736677116,0.0147344734730676,-0.20759714806351148,0
GALLANTT,2024,Capital Goods,-0.0735601317799542,0.147314808022886,-0.0350416440057082,0.1780349095071178,0.0147344734730676,-0.20759954341324233,0
SOLARINDS,2022,Chemicals,0.0395324872844696,0.2446671920031299,-0.0282106016185931,,0.02157821562095625,-0.20761080184841257,0
CENTRALBK,2022,Financial Services,-0.034084758284682,0.9058480836315383,-0.0025604368696593,,0.0213614188746349,-0.20762292252542836,0
LICHSGFIN,2024,Financial Services,0.0294763044670097,0.867230382573166,-0.0119837583525307,0.9580098415980788,0.0213614188746349,-0.20764292767155512,0
ASTRAL,2020,Capital Goods,-0.0688043335808833,0.0834389061203093,-0.0477125397374392,,0.0147344734730676,-0.20764645304854074,0
AARTIIND,2018,Chemicals,-0.0004417665195629,0.4743342760721946,0.0273986792673476,,0.02157821562095625,-0.20768222506610767,0
ICICIGI,2024,Financial Services,-0.0265745607723727,0.0005528501875504,-8.251765412311803e-05,0.1561796494462848,0.0213614188746349,-0.20773347364058187,0
ABSLAMC,2023,Financial Services,0.0570348478544682,0.0172266616931839,-0.0051042648123156,,0.0213614188746349,-0.20778163717696602,0
INDIACEM,2023,Construction Materials,-0.0093684432669818,0.2568442918161507,0.0002157359034481,,0.02233657876759495,-0.20779478623378494,0
KEI,2018,Capital Goods,-0.0207080467226148,0.3793487123351848,-0.0494148703212135,,0.0147344734730676,-0.20780918154340333,0
AEGISLOG,2022,Oil Gas & Consumable Fuels,0.0195575998707436,0.2108772266429696,-0.0304836065040802,,0.02732774499087675,-0.20785029101131497,0
SCHNEIDER,2021,Capital Goods,-0.007492950882445,0.547377032060431,0.0343299804886209,,0.0147344734730676,-0.20787776540479197,0
SOBHA,2022,Realty,-0.056657054270289,0.2193430324580993,-0.0529247564791369,,0.03750103869543505,-0.20788544780984225,0
PNB,2021,Financial Services,-0.0221831867541923,0.9111449298336004,0.0035634992029792,,0.0213614188746349,-0.2079115264178113,0
AIAENG,2018,Capital Goods,0.0419191124400031,0.0346492361993188,-0.0092989538374196,,0.0147344734730676,-0.20795113260269565,0
SRF,2018,Chemicals,-0.0258603062772853,0.3756829179924453,0.0318114308499017,,0.02157821562095625,-0.20801131404649498,0
MAXHEALTH,2018,Healthcare,-0.057809736121544,0.2969904771135719,0.0191576046683222,,0.018909635366554302,-0.20801324196423104,0
CESC,2021,Power,-0.0411301469848051,0.3981168678525428,0.0035304079639227,,0.02714301304713805,-0.20802268085804598,0
KIMS,2020,Healthcare,-0.0689170182841068,0.3086949969861362,0.006621016020074,,0.018909635366554302,-0.20810959829163617,0
ASTERDM,2019,Healthcare,-0.0299962702072443,0.3123214207710254,-0.0020873372209899,,0.018909635366554302,-0.2081429171616786,0
ABBOTINDIA,2019,Healthcare,-0.0165934469485739,,-0.0036016930944258,,0.018909635366554302,-0.20815911215284977,0
POWERGRID,2021,Power,-0.0679142695474059,0.5601409295142423,-0.0175229472139273,,0.02714301304713805,-0.2081638682156941,0
KARURVYSYA,2021,Financial Services,-0.0402842601609499,0.8818534828114424,-0.0007018053575288,,0.0213614188746349,-0.20818049559127216,0
ICICIBANK,2017,Financial Services,-0.0430618733132016,0.7110241384346024,-0.0006671917563533,,0.0213614188746349,-0.20818049559127216,0
ICICIGI,2017,Financial Services,-0.0396520557906407,0.0207701040689276,-0.0006671917563533,,0.0213614188746349,-0.20818049559127216,0
GICRE,2019,Financial Services,-0.0396585578045683,,-0.0006671917563533,,0.0213614188746349,-0.20818049559127216,0
GICRE,2022,Financial Services,-0.0438914403228544,,-0.0006671917563533,,0.0213614188746349,-0.20818049559127216,0
GICRE,2017,Financial Services,-0.0434620873191845,,-0.0006671917563533,,0.0213614188746349,-0.20818049559127216,0
POLICYBZR,2016,Financial Services,-0.0382764020182102,0.001855825552398,-0.0006671917563533,,0.0213614188746349,-0.20818049559127216,0
AEGISLOG,2019,Oil Gas & Consumable Fuels,-0.1428041479763265,0.1018019477750678,-0.0355239839391236,,0.02732774499087675,-0.20818826258328282,0
ELGIEQUIP,2018,Capital Goods,0.0389294209677676,0.2124634812177717,-0.0141953614291543,,0.0147344734730676,-0.20822890454592352,0
DATAPATTNS,2019,Capital Goods,0.0439750567710773,0.2167754028043109,0.009400637721037,,0.0147344734730676,-0.20823293174043378,0
LAURUSLABS,2018,Healthcare,-0.0579702458299079,0.3248263014134557,0.0075953965092373,,0.018909635366554302,-0.20823928674023834,0
BEL,2021,Capital Goods,-0.1015298927389857,8.544803081283117e-05,-0.0002566391196874,,0.0147344734730676,-0.2082677242434992,0
GRANULES,2023,Healthcare,-0.0453077007795004,0.2317372132959695,-0.0134811494324175,,0.018909635366554302,-0.20830547714964348,0
