symbol,company_name,status,data_type,timestamp,notes
CENTRALBK,Central Bank of India,success,consolidated,2026-09-15T12:30:41.781078,32 KB
CDSL,Central Depository Services (India) Ltd.,success,consolidated,2026-09-15T12:31:03.095871,32 KB
CHALET,Chalet Hotels Ltd.,success,consolidated,2026-09-15T12:31:26.480548,33 KB
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,success,consolidated,2026-09-15T12:31:47.970500,33 KB
CHENNPETRO,Chennai Petroleum Corporation Ltd.,success,consolidated,2026-09-15T12:32:09.381311,33 KB
CHOICEIN,Choice International Ltd.,success,consolidated,2026-09-15T12:32:30.816835,32 KB
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,success,consolidated,2026-09-15T12:32:52.202813,33 KB
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,success,consolidated,2026-09-15T12:33:13.485948,33 KB
CIPLA,Cipla Ltd.,success,consolidated,2026-09-15T12:33:35.153643,33 KB
CUB,City Union Bank Ltd.,success,auto,2026-09-15T15:02:45.558417,32 KB
CLEAN,Clean Science and Technology Ltd.,success,consolidated,2026-09-15T12:34:32.580440,32 KB
COALINDIA,Coal India Ltd.,success,consolidated,2026-09-15T12:34:53.725945,33 KB
COCHINSHIP,Cochin Shipyard Ltd.,success,consolidated,2026-09-15T12:35:15.207929,33 KB
COFORGE,Coforge Ltd.,success,consolidated,2026-09-15T12:35:36.697055,32 KB
COHANCE,Cohance Lifesciences Ltd.,success,consolidated,2026-09-15T12:35:58.133364,32 KB
COLPAL,Colgate Palmolive (India) Ltd.,success,consolidated,2026-09-15T12:36:19.199002,31 KB
CAMS,Computer Age Management Services Ltd.,success,consolidated,2026-09-15T12:36:42.113323,32 KB
CONCORDBIO,Concord Biotech Ltd.,success,consolidated,2026-09-15T12:37:04.762341,32 KB
CONCOR,Container Corporation of India Ltd.,success,consolidated,2026-09-15T12:37:26.251238,33 KB
COROMANDEL,Coromandel International Ltd.,success,consolidated,2026-09-15T12:37:47.412905,33 KB
CRAFTSMAN,Craftsman Automation Ltd.,success,consolidated,2026-09-15T12:38:08.791278,33 KB
CREDITACC,CreditAccess Grameen Ltd.,success,consolidated,2026-09-15T12:38:30.137181,32 KB
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,success,consolidated,2026-09-15T12:38:51.478029,33 KB
CUMMINSIND,Cummins India Ltd.,success,consolidated,2026-09-15T12:39:12.841845,33 KB
CYIENT,Cyient Ltd.,success,consolidated,2026-09-15T12:39:34.520581,32 KB
DCMSHRIRAM,DCM Shriram Ltd.,success,consolidated,2026-09-15T12:39:56.019118,33 KB
DLF,DLF Ltd.,success,consolidated,2026-09-15T12:40:17.215301,33 KB
DOMS,DOMS Industries Ltd.,success,consolidated,2026-09-15T12:40:38.488150,32 KB
DABUR,Dabur India Ltd.,success,consolidated,2026-09-15T12:40:59.980121,33 KB
DALBHARAT,Dalmia Bharat Ltd.,success,consolidated,2026-09-15T12:41:21.390479,32 KB
DATAPATTNS,Data Patterns (India) Ltd.,success,auto,2026-09-15T15:03:06.786123,32 KB
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,success,consolidated,2026-09-15T12:42:18.520866,33 KB
DEEPAKNTR,Deepak Nitrite Ltd.,success,consolidated,2026-09-15T12:42:40.057971,33 KB
DELHIVERY,Delhivery Ltd.,success,consolidated,2026-09-15T12:43:01.303467,32 KB
DEVYANI,Devyani International Ltd.,success,consolidated,2026-09-15T12:43:22.508129,32 KB
DIVISLAB,Divi's Laboratories Ltd.,success,consolidated,2026-09-15T12:43:43.605270,32 KB
DIXON,Dixon Technologies (India) Ltd.,success,consolidated,2026-09-15T12:44:04.989552,33 KB
LALPATHLAB,Dr. Lal Path Labs Ltd.,success,consolidated,2026-09-15T12:44:25.323552,32 KB
DRREDDY,Dr. Reddy's Laboratories Ltd.,success,consolidated,2026-09-15T12:44:45.682917,33 KB
DUMMYHEG,Dummy HEG Ltd.,failed,-,2026-09-15T15:03:10.785986,retry failed on all URL patterns
EIDPARRY,E.I.D. Parry (India) Ltd.,success,consolidated,2026-09-15T12:45:09.377748,33 KB
EIHOTEL,EIH Ltd.,success,consolidated,2026-09-15T12:45:29.755449,33 KB
EICHERMOT,Eicher Motors Ltd.,success,consolidated,2026-09-15T12:45:50.555078,33 KB
ELECON,Elecon Engineering Co. Ltd.,success,consolidated,2026-09-15T12:46:10.939626,33 KB
ELGIEQUIP,Elgi Equipments Ltd.,success,consolidated,2026-09-15T12:46:31.255143,32 KB
EMAMILTD,Emami Ltd.,success,consolidated,2026-09-15T12:46:51.548546,33 KB
EMCURE,Emcure Pharmaceuticals Ltd.,success,consolidated,2026-09-15T12:47:11.665832,32 KB
EMMVEE,Emmvee Photovoltaic Power Ltd.,success,consolidated,2026-09-15T12:47:31.784891,32 KB
ENDURANCE,Endurance Technologies Ltd.,success,consolidated,2026-09-15T12:47:52.032114,33 KB
ENGINERSIN,Engineers India Ltd.,success,consolidated,2026-09-15T12:48:12.368793,32 KB
ERIS,Eris Lifesciences Ltd.,success,consolidated,2026-09-15T12:48:32.753180,33 KB
ESCORTS,Escorts Kubota Ltd.,success,consolidated,2026-09-15T12:48:53.033624,33 KB
ETERNAL,Eternal Ltd.,success,consolidated,2026-09-15T12:49:13.281681,32 KB
EXIDEIND,Exide Industries Ltd.,success,consolidated,2026-09-15T12:49:33.527464,33 KB
NYKAA,FSN E-Commerce Ventures Ltd.,success,consolidated,2026-09-15T12:49:53.608599,32 KB
FEDERALBNK,Federal Bank Ltd.,success,consolidated,2026-09-15T12:50:13.966290,33 KB
FACT,Fertilisers and Chemicals Travancore Ltd.,success,consolidated,2026-09-15T12:50:34.170366,33 KB
FINCABLES,Finolex Cables Ltd.,success,consolidated,2026-09-15T12:50:54.490353,33 KB
FSL,Firstsource Solutions Ltd.,success,consolidated,2026-09-15T12:51:14.703920,32 KB
FIVESTAR,Five-Star Business Finance Ltd.,success,consolidated,2026-09-15T12:51:34.666450,31 KB
FORCEMOT,Force Motors Ltd.,success,consolidated,2026-09-15T12:51:54.919331,33 KB
FORTIS,Fortis Healthcare Ltd.,success,consolidated,2026-09-15T12:52:15.300040,33 KB
GAIL,GAIL (India) Ltd.,success,consolidated,2026-09-15T12:52:35.661064,33 KB
GVT&D,GE Vernova T&D India Ltd.,success,consolidated,2026-09-15T12:52:55.491493,30 KB
GMRAIRPORT,GMR Airports Ltd.,success,consolidated,2026-09-15T12:53:16.056598,33 KB
GABRIEL,Gabriel India Ltd.,success,consolidated,2026-09-15T12:53:36.165220,31 KB
GALLANTT,Gallantt Ispat Ltd.,success,consolidated,2026-09-15T12:53:56.347331,32 KB
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,failed,-,2026-09-15T15:03:47.610122,retry failed on all URL patterns
GICRE,General Insurance Corporation of India,success,consolidated,2026-09-15T12:54:52.286868,32 KB
GILLETTE,Gillette India Ltd.,success,auto,2026-09-15T15:04:08.547220,32 KB
GLAND,Gland Pharma Ltd.,success,consolidated,2026-09-15T12:55:48.047541,32 KB
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,success,consolidated,2026-09-15T12:56:08.408101,33 KB
GLENMARK,Glenmark Pharmaceuticals Ltd.,success,consolidated,2026-09-15T12:56:28.722260,33 KB
MEDANTA,Global Health Ltd.,success,consolidated,2026-09-15T12:56:48.866730,32 KB
GODIGIT,Go Digit General Insurance Ltd.,success,auto,2026-09-15T15:04:30.857051,31 KB
GPIL,Godawari Power & Ispat Ltd.,success,consolidated,2026-09-15T12:57:44.759983,33 KB
GODFRYPHLP,Godfrey Phillips India Ltd.,success,consolidated,2026-09-15T12:58:05.102931,33 KB
GODREJCP,Godrej Consumer Products Ltd.,success,consolidated,2026-09-15T12:58:25.360163,33 KB
GODREJIND,Godrej Industries Ltd.,success,consolidated,2026-09-15T12:58:45.705481,33 KB
GODREJPROP,Godrej Properties Ltd.,success,consolidated,2026-09-15T12:59:05.969786,33 KB
GRANULES,Granules India Ltd.,success,consolidated,2026-09-15T12:59:26.193969,33 KB
GRAPHITE,Graphite India Ltd.,success,consolidated,2026-09-15T12:59:46.587723,33 KB
GRASIM,Grasim Industries Ltd.,success,consolidated,2026-09-15T13:00:06.992122,33 KB
GRAVITA,Gravita India Ltd.,success,consolidated,2026-09-15T13:00:27.365127,32 KB
GESHIP,Great Eastern Shipping Co. Ltd.,success,consolidated,2026-09-15T13:00:47.759204,33 KB
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,success,consolidated,2026-09-15T13:01:08.051945,32 KB
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,success,consolidated,2026-09-15T13:01:28.520831,33 KB
HBLENGINE,HBL Engineering Ltd.,success,consolidated,2026-09-15T13:01:48.849985,32 KB
HCLTECH,HCL Technologies Ltd.,success,consolidated,2026-09-15T13:02:09.142336,32 KB
HDBFS,HDB Financial Services Ltd.,success,consolidated,2026-09-15T13:02:29.118711,31 KB
HDFCAMC,HDFC Asset Management Company Ltd.,success,consolidated,2026-09-15T13:02:49.128355,31 KB
HDFCBANK,HDFC Bank Ltd.,success,consolidated,2026-09-15T13:03:09.777151,33 KB
HDFCLIFE,HDFC Life Insurance Company Ltd.,success,consolidated,2026-09-15T13:03:30.046797,32 KB
HEG,HEG Ltd.,success,consolidated,2026-09-15T13:03:50.305743,33 KB
HFCL,HFCL Ltd.,success,consolidated,2026-09-15T13:04:10.570671,33 KB
HAVELLS,Havells India Ltd.,success,consolidated,2026-09-15T13:04:30.919503,33 KB
HEROMOTOCO,Hero MotoCorp Ltd.,success,consolidated,2026-09-15T13:04:51.290116,33 KB
HEXT,Hexaware Technologies Ltd.,success,consolidated,2026-09-15T13:05:11.603608,32 KB
HSCL,Himadri Speciality Chemical Ltd.,success,consolidated,2026-09-15T13:05:32.004528,33 KB
HINDALCO,Hindalco Industries Ltd.,success,consolidated,2026-09-15T13:05:52.645825,33 KB
HAL,Hindustan Aeronautics Ltd.,success,consolidated,2026-09-15T13:06:12.969860,33 KB
HINDCOPPER,Hindustan Copper Ltd.,success,consolidated,2026-09-15T13:06:33.401204,32 KB
HINDPETRO,Hindustan Petroleum Corporation Ltd.,success,consolidated,2026-09-15T13:06:53.791298,33 KB
HINDUNILVR,Hindustan Unilever Ltd.,success,consolidated,2026-09-15T13:07:14.010162,32 KB
HINDZINC,Hindustan Zinc Ltd.,success,consolidated,2026-09-15T13:07:34.103996,32 KB
POWERINDIA,Hitachi Energy India Ltd.,success,auto,2026-09-15T15:04:53.191447,32 KB
HOMEFIRST,Home First Finance Company India Ltd.,success,auto,2026-09-15T15:05:15.191362,32 KB
HONASA,Honasa Consumer Ltd.,success,consolidated,2026-09-15T13:09:05.536067,32 KB
HONAUT,Honeywell Automation India Ltd.,failed,-,2026-09-15T15:05:52.430568,retry failed on all URL patterns
HUDCO,Housing & Urban Development Corporation Ltd.,success,consolidated,2026-09-15T13:10:01.438886,32 KB
HYUNDAI,Hyundai Motor India Ltd.,success,consolidated,2026-09-15T13:10:21.585191,32 KB
ICICIBANK,ICICI Bank Ltd.,success,consolidated,2026-09-15T13:10:41.876741,33 KB
ICICIGI,ICICI Lombard General Insurance Company Ltd.,success,auto,2026-09-15T15:06:13.604568,32 KB
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,success,consolidated,2026-09-15T13:11:37.596555,30 KB
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,success,consolidated,2026-09-15T13:11:58.060956,32 KB
IDBI,IDBI Bank Ltd.,success,consolidated,2026-09-15T13:12:18.538347,33 KB
IDFCFIRSTB,IDFC First Bank Ltd.,success,consolidated,2026-09-15T13:12:38.811761,33 KB
IFCI,IFCI Ltd.,success,consolidated,2026-09-15T13:12:59.283670,33 KB
IIFL,IIFL Finance Ltd.,success,consolidated,2026-09-15T13:13:19.600405,33 KB
IRB,IRB Infrastructure Developers Ltd.,success,consolidated,2026-09-15T13:13:40.520713,33 KB
IRCON,IRCON International Ltd.,success,consolidated,2026-09-15T13:14:00.892075,33 KB
ITCHOTELS,ITC Hotels Ltd.,success,consolidated,2026-09-15T13:14:21.109599,31 KB
ITC,ITC Ltd.,success,consolidated,2026-09-15T13:14:41.423528,33 KB
ITI,ITI Ltd.,success,consolidated,2026-09-15T13:15:01.850179,32 KB
INDGN,Indegene Ltd.,success,consolidated,2026-09-15T13:15:22.141354,32 KB
INDIACEM,India Cements Ltd.,success,consolidated,2026-09-15T13:15:42.508155,33 KB
INDIAMART,Indiamart Intermesh Ltd.,success,consolidated,2026-09-15T13:16:03.175781,32 KB
INDIANB,Indian Bank,success,consolidated,2026-09-15T13:16:24.106269,33 KB
IEX,Indian Energy Exchange Ltd.,success,consolidated,2026-09-15T13:16:44.297380,32 KB
INDHOTEL,Indian Hotels Co. Ltd.,success,consolidated,2026-09-15T13:17:04.606587,33 KB
IOC,Indian Oil Corporation Ltd.,success,consolidated,2026-09-15T13:17:24.873215,33 KB
IOB,Indian Overseas Bank,success,consolidated,2026-09-15T13:17:44.980826,32 KB
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,success,consolidated,2026-09-15T13:18:04.962725,31 KB
IRFC,Indian Railway Finance Corporation Ltd.,success,auto,2026-09-15T15:06:34.935951,32 KB
IREDA,Indian Renewable Energy Development Agency Ltd.,success,consolidated,2026-09-15T13:19:00.656942,32 KB
IGL,Indraprastha Gas Ltd.,success,consolidated,2026-09-15T13:19:21.141883,33 KB
INDUSTOWER,Indus Towers Ltd.,success,consolidated,2026-09-15T13:19:41.462186,32 KB
INDUSINDBK,IndusInd Bank Ltd.,success,consolidated,2026-09-15T13:20:01.752205,33 KB
NAUKRI,Info Edge (India) Ltd.,success,consolidated,2026-09-15T13:20:22.055312,33 KB
INFY,Infosys Ltd.,success,consolidated,2026-09-15T13:20:42.386038,32 KB
INOXWIND,Inox Wind Ltd.,success,consolidated,2026-09-15T13:21:02.797091,33 KB
INTELLECT,Intellect Design Arena Ltd.,success,consolidated,2026-09-15T13:21:23.287269,32 KB
INDIGO,InterGlobe Aviation Ltd.,success,consolidated,2026-09-15T13:21:43.585479,33 KB
IGIL,International Gemological Institute Ltd.,success,consolidated,2026-09-15T13:22:03.619929,31 KB
IKS,Inventurus Knowledge Solutions Ltd.,success,consolidated,2026-09-15T13:22:23.896704,32 KB
IPCALAB,Ipca Laboratories Ltd.,success,consolidated,2026-09-15T13:22:44.104691,33 KB
JKCEMENT,J.K. Cement Ltd.,success,consolidated,2026-09-15T13:23:04.443394,33 KB
JBMA,JBM Auto Ltd.,success,consolidated,2026-09-15T13:23:24.902182,33 KB
JKTYRE,JK Tyre & Industries Ltd.,success,consolidated,2026-09-15T13:23:45.290159,33 KB
JMFINANCIL,JM Financial Ltd.,success,consolidated,2026-09-15T13:24:05.545433,33 KB
JSWCEMENT,JSW Cement Ltd.,success,consolidated,2026-09-15T13:24:25.725855,32 KB
JSWDULUX,JSW Dulux Ltd.,success,consolidated,2026-09-15T13:24:45.971805,32 KB
JSWENERGY,JSW Energy Ltd.,success,consolidated,2026-09-15T13:25:06.467059,33 KB
JSWINFRA,JSW Infrastructure Ltd.,success,consolidated,2026-09-15T13:25:26.797474,33 KB
JSWSTEEL,JSW Steel Ltd.,success,consolidated,2026-09-15T13:25:47.229553,32 KB
JAINREC,Jain Resource Recycling Ltd.,success,consolidated,2026-09-15T13:26:07.388577,31 KB
JPPOWER,Jaiprakash Power Ventures Ltd.,success,consolidated,2026-09-15T13:26:27.677509,33 KB
J&KBANK,Jammu & Kashmir Bank Ltd.,success,consolidated,2026-09-15T13:26:48.040688,32 KB
JINDALSAW,Jindal Saw Ltd.,success,consolidated,2026-09-15T13:27:08.372472,33 KB
JSL,Jindal Stainless Ltd.,success,consolidated,2026-09-15T13:27:29.000457,33 KB
JINDALSTEL,Jindal Steel Ltd.,success,consolidated,2026-09-15T13:27:49.215675,33 KB
JIOFIN,Jio Financial Services Ltd.,success,consolidated,2026-09-15T13:28:09.343063,31 KB
JUBLFOOD,Jubilant Foodworks Ltd.,success,consolidated,2026-09-15T13:28:30.113033,33 KB
JUBLINGREA,Jubilant Ingrevia Ltd.,success,consolidated,2026-09-15T13:28:50.328815,32 KB
JUBLPHARMA,Jubilant Pharmova Ltd.,success,consolidated,2026-09-15T13:29:11.094994,33 KB
JWL,Jupiter Wagons Ltd.,success,consolidated,2026-09-15T13:29:31.301834,32 KB
JYOTICNC,Jyoti CNC Automation Ltd.,success,consolidated,2026-09-15T13:29:51.409406,32 KB
KPRMILL,K.P.R. Mill Ltd.,success,consolidated,2026-09-15T13:30:11.790227,33 KB
KEI,KEI Industries Ltd.,success,consolidated,2026-09-15T13:30:32.244751,33 KB
